KEY,SKEY,AAF1,CBAA_1
100000923,197100001155,2,4
100000924,197100001943,1,2
100000925,197100000460,1,3
100000926,197100001897,2,4
100000927,197100001878,1,4
100000928,197100001749,2,4
100000929,197100001903,2,4
100000930,197100001813,1,3
100000931,197100001938,1,2
100000932,197100001930,1,3
100000933,197100001885,2,2
100000934,197100000650,1,4
100000935,197100001881,1,2
100000936,197100001238,1,4
100000937,197100001942,2,2
100000938,197100000904,2,2
100000939,197100000304,1,4
100000940,197100001627,2,3
100000941,197100001922,1,4
100000942,197100001945,1,3
100000943,197100001800,2,3
100000944,197100001963,2,3
100000945,197100001958,1,3
100000946,197100001962,2,3
100000947,197100001846,1,4
100000948,197100000658,2,3
100000949,197100000706,1,4
100000950,197100001964,2,3
100000951,197100001975,1,4
100000952,197100001781,1,4
100000953,197100000928,2,2
100000954,197100001119,2,4
100000955,197100000301,1,3
100000956,197100001890,1,4
100000957,197100001778,1,4
100000958,197100001972,1,2
100000959,197100001954,1,3
100000960,197100001988,1,2
100000961,197100000693,2,4
100000962,197100001344,2,4
100000963,197100001983,1,2
100000964,197100001997,1,3
100000965,197100001994,1,3
100000966,197100001985,2,3
100000967,197100002001,1,4
100000968,197100000578,1,1
100000970,197100001999,2,3
100000971,197100001669,1,3
100000972,197100001686,2,4
100000973,197100002011,1,3
100000974,197100000142,2,4
100000975,197100002017,1,3
100000976,197100001998,2,3
100000977,197100002016,2,3
100000978,197100001978,1,2
100000979,197100000716,1,3
100000980,197100002006,2,2
100000981,197100002022,1,4
100000982,197100001429,2,3
100000983,197100002024,1,3
100000984,197100000229,2,2
100000985,197100001882,2,2
100000986,197100000863,1,3
100000987,197100002032,1,4
100000988,197100000302,1,3
100000989,197100001358,1,1
100000990,197100000276,1,4
100000991,197100000735,1,2
100000992,197100002023,2,3
100000993,197100001911,1,4
100000994,197100001769,1,4
100000995,197100000588,1,2
100000997,197100002049,2,2
100000999,197100000382,2,4
100001000,197100000841,2,4
100001001,197100002050,1,2
100001002,197100002056,2,2
100001003,197100002021,1,2
100001004,197100001608,1,2
